0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:27 +0900] "GET /lab/main.jsp HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:28 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:29 +0900] "GET /lab/select.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:39:34 +0900] "GET /lab/select.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:40:22 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:40:23 +0900] "GET /lab/select.jsp HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:40:23 +0900] "GET /lab/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:40:28 +0900] "GET /lab/select.jsp HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:40:30 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:03 +0900] "GET /lab/select.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:04 +0900] "GET /lab/select.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:11 +0900] "GET /lab/select.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:16 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:17 +0900] "GET /lab/cart.jsp HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:21 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:22 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:24 +0900] "GET /lab/cart.jsp HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:26 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:27 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:29 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:31 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 8005
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:33 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:40 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 8005
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:43 +0900] "GET /lab/all_course.jsp?searchMajor=%EA%B8%B0%EC%B4%88 HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:44 +0900] "GET /lab/all_course.jsp HTTP/1.1" 200 8005
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:45 +0900] "GET /lab/history.jsp HTTP/1.1" 200 3215
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:41:48 +0900] "GET /lab/update.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:42:28 +0900] "GET /lab/update.jsp HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:42:56 +0900] "GET /lab/delete.jsp HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:42:56 +0900] "GET /lab/cart.jsp HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [14/Jun/2023:21:44:38 +0900] "GET /lab/insert.jsp HTTP/1.1" 200 13749
